Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force
BR1 1BB,No,51.398192,0.015397,540300,168500,TQ403685,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1991-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018A","Urban major conurbation",London,46,5,E01000670,,E02000144,"Bromley 018",E43000196,E00003238,E14000604,27655,8,1,2019-03-28,"Bromley South",0.239699,BR,BR1,"Metropolitan Police"
BR1 1BP,No,51.409027,0.010236,539908,169695,TQ399696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1999-06-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,1,1,2019-03-28,"Bromley North",0.474752,BR,BR1,"Metropolitan Police"
BR1 1BQ,Yes,51.408058,0.015874,540303,169598,TQ403695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2002-07-01,,"Bromley, unparished area","",38,37,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,71,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,1,0,2019-03-28,"Bromley North",0.0830579,BR,BR1,"Metropolitan Police"
BR1 1BS,No,51.407276,0.010045,539900,169500,TQ399694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1988-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,68,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003256,E14000604,10169,8,1,2019-03-28,"Bromley North",0.495499,BR,BR1,"Metropolitan Police"
BR1 1BT,No,51.39914,0.012563,540100,168600,TQ400686,"","Bromley","Shortlands",E09000006,E05000126,England,E99999999,"Beckenham",1988-03-01,1991-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018E","Urban major conurbation",London,43,5,E01000829,,E02000144,"Bromley 018",E43000196,E00004053,E14000551,27975,8,1,2019-03-28,"Bromley South",0.34418,BR,BR1,"Metropolitan Police"
BR1 1BU,No,51.409074,0.010123,539900,169700,TQ398697,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1995-01-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,8,1,2019-03-28,"Bromley North",0.483351,BR,BR1,"Metropolitan Police"
BR1 1BW,Yes,51.398997,0.016165,540351,168591,TQ403685,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2008-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018A","Urban major conurbation",London,49,5,E01000670,,E02000144,"Bromley 018",E43000196,E00003238,E14000604,27655,1,1,2019-03-28,"Bromley South",0.135946,BR,BR1,"Metropolitan Police"
BR1 1BX,No,51.407276,0.010045,539900,169500,TQ399694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1994-05-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,68,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003256,E14000604,10169,8,1,2019-03-28,"Bromley North",0.495499,BR,BR1,"Metropolitan Police"
BR1 1BY,Yes,51.408116,0.010898,539957,169595,TQ399695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003256,E14000604,10169,1,0,2019-03-28,"Bromley North",0.423082,BR,BR1,"Metropolitan Police"
BR1 1BZ,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2001-06-01,2004-07-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1DA,No,51.407153,0.017229,540400,169500,TQ404695,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1990-07-01,1994-05-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,70,4,E01000675,,E02000144,"Bromley 018",E43000196,E00003254,E14000604,20532,8,1,2019-03-28,"Bromley North",0.131368,BR,BR1,"Metropolitan Police"
BR1 1DB,No,51.407276,0.010045,539900,169500,TQ399694,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1982-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,68,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003256,E14000604,10169,8,1,2019-03-28,"Bromley North",0.495499,BR,BR1,"Metropolitan Police"
BR1 1DD,Yes,51.403891,0.016582,540365,169136,TQ403691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1992-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,75,5,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,0,2019-03-28,"Bromley South",0.435573,BR,BR1,"Metropolitan Police"
BR1 1DE,Yes,51.408562,0.01059,539934,169644,TQ399696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1984-02-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,1,0,2019-03-28,"Bromley North",0.444558,BR,BR1,"Metropolitan Police"
BR1 1DF,No,51.408899,0.01036,539917,169681,TQ399696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,2013-11-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,1,1,2019-03-28,"Bromley North",0.464113,BR,BR1,"Metropolitan Police"
BR1 1DG,Yes,51.409531,0.010198,539904,169751,TQ399697,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",1,1,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,72,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,1,0,2019-03-28,"Bromley North",0.489615,BR,BR1,"Metropolitan Police"
BR1 1DH,No,51.409027,0.010236,539908,169695,TQ399696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1990-07-01,2007-08-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,1,1,2019-03-28,"Bromley North",0.474752,BR,BR1,"Metropolitan Police"
BR1 1DJ,Yes,51.40389,0.016593,540366,169136,TQ403691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1992-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,68,5,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,0,2019-03-28,"Bromley South",0.435369,BR,BR1,"Metropolitan Police"
BR1 1DL,Yes,51.409192,0.010042,539894,169713,TQ398697,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,1,1,2019-03-28,"Bromley North",0.491281,BR,BR1,"Metropolitan Police"
BR1 1DN,Yes,51.40389,0.016593,540366,169136,TQ403691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1992-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,75,5,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,0,2019-03-28,"Bromley South",0.435369,BR,BR1,"Metropolitan Police"
BR1 1DP,Yes,51.398997,0.016165,540351,168591,TQ403685,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1997-12-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018A","Urban major conurbation",London,49,5,E01000670,,E02000144,"Bromley 018",E43000196,E00003238,E14000604,27655,1,1,2019-03-28,"Bromley South",0.135946,BR,BR1,"Metropolitan Police"
BR1 1DQ,No,51.408899,0.01036,539917,169681,TQ399696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1997-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,8,1,2019-03-28,"Bromley North",0.464113,BR,BR1,"Metropolitan Police"
BR1 1DR,No,51.39909,0.015436,540300,168600,TQ402685,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1996-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018A","Urban major conurbation",London,46,5,E01000670,,E02000144,"Bromley 018",E43000196,E00003238,E14000604,27655,8,0,2019-03-28,"Bromley South",0.164799,BR,BR1,"Metropolitan Police"
BR1 1DS,Yes,51.399768,0.016297,540358,168677,TQ403686,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,49,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,0,2019-03-28,"Bromley South",0.0761291,BR,BR1,"Metropolitan Police"
BR1 1DT,No,51.409027,0.010236,539908,169695,TQ399696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1992-08-01,2007-08-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008A","Urban major conurbation",London,71,4,E01000674,,E02000134,"Bromley 008",E43000196,E00003251,E14000604,20072,1,1,2019-03-28,"Bromley North",0.474752,BR,BR1,"Metropolitan Police"
BR1 1DU,Yes,51.398997,0.016165,540351,168591,TQ403685,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1998-12-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018A","Urban major conurbation",London,49,5,E01000670,,E02000144,"Bromley 018",E43000196,E00003238,E14000604,27655,1,1,2019-03-28,"Bromley South",0.135946,BR,BR1,"Metropolitan Police"
BR1 1DW,No,51.404089,0.014463,540217,169154,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,2010-07-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,70,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,1,2019-03-28,"Bromley South",0.49663,BR,BR1,"Metropolitan Police"
BR1 1DX,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2001-12-01,2003-08-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1EA,Yes,51.400462,0.016716,540385,168755,TQ403687,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",4,4,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,56,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,0,2019-03-28,"Bromley South",0.0679078,BR,BR1,"Metropolitan Police"
BR1 1EE,No,51.400887,0.015515,540300,168800,TQ402687,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1981-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,58,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003236,E14000604,20532,8,1,2019-03-28,"Bromley South",0.161365,BR,BR1,"Metropolitan Police"
BR1 1EG,Yes,51.401684,0.015705,540311,168889,TQ403688,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",14,6,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,63,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,0,2019-03-28,"Bromley South",0.219361,BR,BR1,"Metropolitan Police"
BR1 1EH,No,51.408226,0.017578,540421,169620,TQ404696,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2001-12-01,2006-07-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003250,E14000604,10169,1,1,2019-03-28,"Bromley North",0.0420671,BR,BR1,"Metropolitan Police"
BR1 1EJ,No,51.400887,0.015515,540300,168800,TQ402687,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1995-01-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,58,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003236,E14000604,20532,8,1,2019-03-28,"Bromley South",0.161365,BR,BR1,"Metropolitan Police"
BR1 1EL,No,51.401786,0.015555,540300,168900,TQ403689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1985-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,63,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,8,1,2019-03-28,"Bromley South",0.234478,BR,BR1,"Metropolitan Police"
BR1 1EN,No,51.40206,0.015337,540284,168930,TQ402689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,2005-07-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,63,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,1,2019-03-28,"Bromley South",0.268315,BR,BR1,"Metropolitan Police"
BR1 1EP,No,51.401811,0.014118,540200,168900,TQ401689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1981-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,56,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003236,E14000604,20532,8,1,2019-03-28,"Bromley South",0.30156,BR,BR1,"Metropolitan Police"
BR1 1ER,Yes,51.399372,0.017878,540469,168636,TQ404686,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2003-09-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018B","Urban major conurbation",London,51,5,E01000675,,E02000144,"Bromley 018",E43000196,E00003264,E14000604,20532,1,1,2019-03-28,"Bromley South",0.0765099,BR,BR1,"Metropolitan Police"
BR1 1ES,No,51.402709,0.014158,540200,169000,TQ402689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1991-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,62,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,1,2019-03-28,"Bromley South",0.373883,BR,BR1,"Metropolitan Police"
BR1 1EU,No,51.402709,0.014158,540200,169000,TQ402689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1995-01-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,62,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,1,2019-03-28,"Bromley South",0.373883,BR,BR1,"Metropolitan Police"
BR1 1EW,Yes,51.40253,0.015171,540271,168982,TQ402689,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",3,2,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,66,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,0,2019-03-28,"Bromley South",0.319335,BR,BR1,"Metropolitan Police"
BR1 1EX,Yes,51.403765,0.014448,540217,169118,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1990-02-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,69,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,1,2019-03-28,"Bromley South",0.464381,BR,BR1,"Metropolitan Police"
BR1 1EY,Yes,51.403002,0.014932,540253,169034,TQ402690,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,67,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,0,2019-03-28,"Bromley South",0.3735,BR,BR1,"Metropolitan Police"
BR1 1EZ,Yes,51.404336,0.014761,540237,169182,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,72,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,0,2019-03-28,"Bromley North",0.469577,BR,BR1,"Metropolitan Police"
BR1 1GA,No,51.404256,0.014671,540231,169173,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",2000-05-01,2000-09-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,72,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,0,2019-03-28,"Bromley North",0.480035,BR,BR1,"Metropolitan Police"
BR1 1HA,Yes,51.403765,0.014448,540217,169118,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,69,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,1,2019-03-28,"Bromley South",0.464381,BR,BR1,"Metropolitan Police"
BR1 1HB,No,51.404507,0.014237,540200,169200,TQ402692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1984-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,71,4,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,1,2019-03-28,"Bromley North",0.465372,BR,BR1,"Metropolitan Police"
BR1 1HD,Yes,51.403891,0.016582,540365,169136,TQ403691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,75,5,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,1,1,2019-03-28,"Bromley South",0.435573,BR,BR1,"Metropolitan Police"
BR1 1HE,Yes,51.405208,0.014253,540199,169278,TQ401692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,73,4,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,0,2019-03-28,"Bromley North",0.395099,BR,BR1,"Metropolitan Police"
BR1 1HF,No,51.402902,0.014971,540256,169023,TQ402690,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,2018-02-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,67,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,1,2019-03-28,"Bromley South",0.362371,BR,BR1,"Metropolitan Police"
BR1 1HG,Yes,51.403723,0.014849,540245,169114,TQ402691,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,70,5,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,0,2019-03-28,"Bromley South",0.448686,BR,BR1,"Metropolitan Police"
BR1 1HH,No,51.40543,0.012839,540100,169300,TQ400693,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1991-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 008B","Urban major conurbation",London,70,4,E01000676,,E02000134,"Bromley 008",E43000196,E00003255,E14000604,10169,8,1,2019-03-28,"Bromley North",0.431797,BR,BR1,"Metropolitan Police"
BR1 1HJ,No,51.405208,0.014253,540199,169278,TQ401692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,2007-08-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,73,4,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,1,1,2019-03-28,"Bromley North",0.395099,BR,BR1,"Metropolitan Police"
BR1 1HL,No,51.405405,0.014276,540200,169300,TQ401692,"","Bromley","Bromley Town",E09000006,E05000109,England,E99999999,"Bromley and Chislehurst",1980-01-01,1992-12-01,"Bromley, unparished area","",,,"Greater London","Bromley","Bromley 018C","Urban major conurbation",London,73,4,E01000677,,E02000144,"Bromley 018",E43000196,E00003266,E14000604,19350,8,1,2019-03-28,"Bromley North",0.375247,BR,BR1,"Metropolitan Police"
